PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing,start_date,end_date
61881,BDF,"4,6. 21,4(-5). 39,2. 57,3iii",Biggleswade,Tempsford,,,TL1653,,52.163103,-0.305497,516000.0,253000.0,1066,1086
61886,WOR,"6,1. 19,2",`Doddingtree',Tenbury [Wells],,,SO5968,,52.308587,-2.602776,359000.0,268000.0,1066,1086
61891,ESS,"4,5. 20,64;70. 32,38a. 34,32. 68,7",Tendring,Tendring,,,TM1424,,51.873507,1.107377,614000.0,224000.0,1066,1086
61896,ESS,"1,2 note. 34,6. 90,10. B3q",Witham,Terling,,,TL7714,,51.796645,0.56541,577000.0,214000.0,1066,1086
61906,YKS,"5N54-55. 6N162. 8N20. SN,B5(-6)",`Bulford',Terrington,North Riding,,SE6770,,54.121524,-0.976404,467000.0,470000.0,1066,1086
61916,WAR,EBW1,`Came',`Tessall',,,SP0078,,52.400028,-2.001418,400000.0,278000.0,1066,1086
61921,WOR,"1,1a",`Came',`Tessall',,,SP0078,,52.400028,-2.001418,400000.0,278000.0,1066,1086
61926,NFK,"34,10",`Brothercross',Testerton,,,TF9326,,52.797054,0.861265,593000.0,326000.0,1066,1086
61931,KEN,"5,99",Twyford,Teston,Aylesford,,TQ7053,,51.25083,0.434591,570000.0,153000.0,1066,1086
61936,GLS,"41,2",Longtree,Tetbury,,,ST8993,,51.6357,-2.160333,389000.0,193000.0,1066,1086
61941,BUK,"16,3",Ashendon,Tetchwick,,,SP6819,,51.865452,-1.013837,468000.0,219000.0,1066,1086
61946,DEV,"17,17",Black Torrington,Tetcott,,,SX3396,,50.739528,-4.368182,233000.0,96000.0,1066,1086
61951,LIN,"2,21(-22). 13,9. 28,35",Hill,Tetford,Lindsey South Riding,,TF3374,,53.246388,-0.008229,533000.0,374000.0,1066,1086
61956,LIN,"14,1(-2);4",Bradley,Tetney,Lindsey North Riding,,TA3101,,53.489435,-0.027011,531000.0,401000.0,1066,1086
61961,SHR,"5,2",`Overs',Tetstill,,,SO6671,,52.336036,-2.500414,366000.0,271000.0,1066,1086
61966,STS,"1,2-3. 7,5",Seisdon,Tettenhall,,,SJ8800,,52.597673,-2.178591,388000.0,300000.0,1066,1086
61971,CHS,"20,12",Middlewich,Tetton,,,SJ7163,,53.163341,-2.435206,371000.0,363000.0,1066,1086
61976,SOM,"18,1",Taunton,Tetton,,,ST2030,,51.063735,-3.143028,320000.0,130000.0,1066,1086
61986,NTT,"13,8",Broxtowe,Teversal,,,SK4861,,53.14401,-1.283839,448000.0,361000.0,1066,1086
61991,CAM,"5,13. 14,3(-4). 35,2. Appx E",Fleamdyke,Teversham,,,TL4958,,52.200111,0.178823,549000.0,258000.0,1066,1086
61996,OXF,"7,43. 8,2. 27,5. 28,29",Wootton,[Duns] Tew,,,SP4528,,51.948691,-1.346662,445000.0,228000.0,1066,1086
62001,OXF,"7,4",Wootton,[Great] Tew,,,SP3929,,51.958133,-1.433842,439000.0,229000.0,1066,1086
62006,OXF,"7,38;44;62. 8,1",Wootton,[Little] Tew,,,SP3828,,51.949212,-1.448505,438000.0,228000.0,1066,1086
62011,HRT,"9,6",Broadwater,Tewin,,,TL2716,,51.828196,-0.158456,527000.0,216000.0,1066,1086
62016,HRT,"36,19. Appx",Hertford,Tewin,,,TL2714,,51.810223,-0.159189,527000.0,214000.0,1066,1086
62021,GLS,"1,24-25;(27-33);34-35;(36-)37;38(-39)",Tewkesbury,Tewkesbury,,,SO8932,,51.986354,-2.161582,389000.0,232000.0,1066,1086
62026,WAR,EG2,Tewkesbury,Tewkesbury,,,SO8932,,51.986354,-2.161582,389000.0,232000.0,1066,1086
62036,ESS,"30,1",Lexden,[Marks] Tey,,,TL9123,,51.872871,0.773151,591000.0,223000.0,1066,1086
62041,SUS,"13,49",`Easwrithe',Thakeham,Bramber,,TQ1117,,50.941761,-0.421448,511000.0,117000.0,1066,1086
